# Animation types for animation lookups		
# ID	TYPE	FLAGS
155	MONSTER	0
157	MONSTER	0
158	MONSTER	4
159	MONSTER	4
160	MONSTER	4
161	MONSTER	0
162	MONSTER	4
163	MONSTER	0
164	MONSTER	4
165	MONSTER	0
166	MONSTER	0
167	ANIMAL	0
168	MONSTER	0
170	ANIMAL	0
171	ANIMAL	0
172	MONSTER	0
173	MONSTER	0
174	MONSTER	0
175	MONSTER	0
176	MONSTER	0
177	ANIMAL	0
178	ANIMAL	0
179	ANIMAL	0
180	MONSTER	0
181	MONSTER	0
182	MONSTER	0
183	HUMAN	8000
184	HUMAN	8000
185	HUMAN	8000
186	HUMAN	8000
187	ANIMAL	4000
188	ANIMAL	4000
189	MONSTER	0
190	ANIMAL	0
191	ANIMAL	0
192	ANIMAL	0
193	ANIMAL	0
194	ANIMAL	0
195	ANIMAL	0
200	ANIMAL	0
201	ANIMAL	0
202	ANIMAL	0
203	ANIMAL	0
204	ANIMAL	0
205	ANIMAL	0
206	MONSTER	40
207	ANIMAL	0   	# Sheep 
			# 230	ANIMAL	10000	# Sheep Shorn --THIS ASSET IS IN THE UOP FILE
208	ANIMAL	0
209	ANIMAL	0
210	ANIMAL	0
211	ANIMAL	0
212	ANIMAL	0
213	ANIMAL	4000
214	ANIMAL	0
215	MONSTER	40
216	ANIMAL	0
217	ANIMAL	0
218	ANIMAL	0
219	ANIMAL	0
220	ANIMAL	0
221	ANIMAL	0
223	ANIMAL	0
225	ANIMAL	0
226	ANIMAL	0
228	ANIMAL	0
231	ANIMAL	0
232	ANIMAL	0
233	ANIMAL	0
234	ANIMAL	0
237	ANIMAL	0
238	ANIMAL	0
268	EQUIPMENT	0
281	EQUIPMENT	0
283	EQUIPMENT	0
290	ANIMAL	0
291	ANIMAL	0
292	ANIMAL	0
300	MONSTER	0
301	MONSTER	0
302	MONSTER	0
303	MONSTER	0
304	MONSTER	0
305	MONSTER	0
306	MONSTER	0
307	MONSTER	0
308	MONSTER	0
309	MONSTER	0
310	MONSTER	0
311	MONSTER	0
312	MONSTER	0
313	MONSTER	0
314	MONSTER	0
315	MONSTER	0
316	MONSTER	0
317	MONSTER	8
318	MONSTER	0
319	MONSTER	0
#325	EQUIPMENT	0
349	EQUIPMENT	0
400	HUMAN	20000
401	HUMAN	20000
402	HUMAN	20000
403	HUMAN	20000
404	EQUIPMENT	0
405	EQUIPMENT	0
406	EQUIPMENT	0
407	EQUIPMENT	0
408	EQUIPMENT	0
409	EQUIPMENT	0
410	EQUIPMENT	0
411	EQUIPMENT	0
412	EQUIPMENT	0
413	EQUIPMENT	0
414	EQUIPMENT	0
415	EQUIPMENT	0
416	EQUIPMENT	0
417	EQUIPMENT	0
418	EQUIPMENT	0
419	EQUIPMENT	0
430	EQUIPMENT	0
431	EQUIPMENT	0
434	EQUIPMENT	0
435	EQUIPMENT	0
447	EQUIPMENT	0
448	EQUIPMENT	0
449	EQUIPMENT	0
455	EQUIPMENT	0
465	EQUIPMENT	0
466	EQUIPMENT	0
468	EQUIPMENT	0
469	EQUIPMENT	0
476	EQUIPMENT	0
477	EQUIPMENT	0
479	EQUIPMENT	0
480	EQUIPMENT	0
481	EQUIPMENT	0
482	EQUIPMENT	0
# 483	EQUIPMENT	0 FUR CAPE NOT IN GAME
484	EQUIPMENT	0
# 485	EQUIPMENT	0 GUILDED DRESS
486	EQUIPMENT	0
490	EQUIPMENT	0
# 684	EQUIPMENT	0 OLD AMAZON ARMOR
500	EQUIPMENT	0
501	EQUIPMENT	0
502	EQUIPMENT	0
503	EQUIPMENT	0
504	EQUIPMENT	0
505	EQUIPMENT	0
521	EQUIPMENT	0
523	EQUIPMENT	0
525	EQUIPMENT	0
527	EQUIPMENT	0
528	EQUIPMENT	0
529	EQUIPMENT	0
530	EQUIPMENT	0
531	EQUIPMENT	0
538	EQUIPMENT	0
540	EQUIPMENT	0
541	EQUIPMENT	0
542	EQUIPMENT	0
543	EQUIPMENT	0
544	EQUIPMENT	0
545	EQUIPMENT	0
546	EQUIPMENT	0
548	EQUIPMENT	0
549	EQUIPMENT	0
550	EQUIPMENT	0
554	EQUIPMENT	0
555	EQUIPMENT	0
556	EQUIPMENT	0
557	EQUIPMENT	0
560	EQUIPMENT	0
561	EQUIPMENT	0
562	EQUIPMENT	0
563	EQUIPMENT	0
564	EQUIPMENT	0
565	EQUIPMENT	0
566	EQUIPMENT	0
574	MONSTER	1400
576	EQUIPMENT	0
577	EQUIPMENT	0
578	EQUIPMENT	0
579	EQUIPMENT	0
580	EQUIPMENT	0
581	EQUIPMENT	0
582	EQUIPMENT	0
584	EQUIPMENT	0
585	EQUIPMENT	0
586	EQUIPMENT	0
587	EQUIPMENT	0
588	EQUIPMENT	0
589	EQUIPMENT	0
590	EQUIPMENT	0
591	EQUIPMENT	0
592	EQUIPMENT	0
593	EQUIPMENT	0
594	EQUIPMENT	0
# 	REMOVING THIS SINCE THERE IS NO LEGACY ASSET DEFINED IN THE BODYCONV.DEF FILE. -JP --> 595	EQUIPMENT	0
596	EQUIPMENT	0	
597	EQUIPMENT	0	
598	EQUIPMENT	0	
599	EQUIPMENT	0	
600	EQUIPMENT	0	
601	EQUIPMENT	0	
602	EQUIPMENT	0	
# 	REMOVING THIS SINCE THERE IS NO LEGACY ASSET DEFINED IN THE BODYCONV.DEF FILE. -JP --> 603	EQUIPMENT	0
604	EQUIPMENT	0	
611	EQUIPMENT	0	
612	EQUIPMENT	0	
613	EQUIPMENT	0	
614	EQUIPMENT	0	
615	EQUIPMENT	0	
616	EQUIPMENT	0	
617	EQUIPMENT	0
618	EQUIPMENT	0
619	EQUIPMENT	0
620	EQUIPMENT	0
621	EQUIPMENT	0
622	EQUIPMENT	0
623	EQUIPMENT	0
624	EQUIPMENT	0
625	EQUIPMENT	0
626	EQUIPMENT	0
627	EQUIPMENT	0
628	EQUIPMENT	0
629	EQUIPMENT	0
630	EQUIPMENT	0
631	EQUIPMENT	0
633	EQUIPMENT	0
635	EQUIPMENT	0
636	EQUIPMENT	0
637	EQUIPMENT	0
638	EQUIPMENT	0
639	EQUIPMENT	0
643	EQUIPMENT	0
644	EQUIPMENT	0
645	EQUIPMENT	0
646	EQUIPMENT	0
648	EQUIPMENT	0
649	EQUIPMENT	0
651	EQUIPMENT	0
653	EQUIPMENT	0
# REMMED OUT THESE LINES SO THAT THERE ARE NOT 2 IN THIS LIST. -JP		
# 654	EQUIPMENT	0
# 655	EQUIPMENT	0
# 656	EQUIPMENT	0
657	EQUIPMENT	0
658	EQUIPMENT	0
659	EQUIPMENT	0
660	EQUIPMENT	0
661	EQUIPMENT	0
662	EQUIPMENT	0
663	EQUIPMENT	0
# REMMED OUT THESE LINES SO THAT THERE ARE NOT 2 IN THIS LIST. -JP		
# 664	EQUIPMENT	0
# 665	EQUIPMENT	0 LONG SWORD? NOW GARG HORNS
666	EQUIPMENT	0
667	EQUIPMENT	0
668	EQUIPMENT	0
669	EQUIPMENT	0
670	EQUIPMENT	0
671	EQUIPMENT	0
672	EQUIPMENT	0
674	EQUIPMENT	0
675	EQUIPMENT	0
676	EQUIPMENT	0
677	EQUIPMENT	0
678	EQUIPMENT	0
679	EQUIPMENT	0
680	EQUIPMENT	0
681	EQUIPMENT	0
682	EQUIPMENT	0
683	EQUIPMENT	0
687	EQUIPMENT	0
688	EQUIPMENT	0
690	EQUIPMENT	0
691	EQUIPMENT	0
692	EQUIPMENT	0
693	EQUIPMENT	0
# 694	EQUIPMENT	0  REMOVED DUPLICATE - I THINK THIS USED TO BE 
695	EQUIPMENT	0
# 696	EQUIPMENT	0  REMOVED DUPLICATE - I THINK THIS USED TO BE KOTE Sleeves
# 697	EQUIPMENT	0  REMOVED DUPLICATE - I THINK THIS USED TO BE Old Gloves
# 698	EQUIPMENT	0  REMOVED DUPLICATE - I THINK THIS USED TO BE a BOKATANA
# 699	EQUIPMENT	0  REMOVED DUPLICATE - I THINK THIS USED TO BE WARAJI
700	EQUIPMENT	0
701	EQUIPMENT	0
702	EQUIPMENT	0
703	EQUIPMENT	0
710	EQUIPMENT	0
712	EQUIPMENT	0
713	EQUIPMENT	0
715	EQUIPMENT	0
716	EQUIPMENT	0
720	EQUIPMENT	0
721	EQUIPMENT	0
722	EQUIPMENT	0
723	EQUIPMENT	0
724	EQUIPMENT	0
725	EQUIPMENT	0
726	EQUIPMENT	0
727	EQUIPMENT	0
728	EQUIPMENT	0
729	EQUIPMENT	0
730	EQUIPMENT	0
731	EQUIPMENT	0
732	EQUIPMENT	0
733	EQUIPMENT	0
734	EQUIPMENT	0
735	EQUIPMENT	0
736	EQUIPMENT	0
740	EQUIPMENT	0
742	EQUIPMENT	0
743	EQUIPMENT	0
744	HUMAN	0
745	HUMAN	0
746	MONSTER	0
747	MONSTER	0
748	MONSTER	0
749	MONSTER	0
750	HUMAN	8000
751	HUMAN	8000
752	MONSTER	0
# ALTERED THE FOLLOWING ENTRY TO TRY AND SUBSTITUTE THE UOKR GARG SLAVE FOR THE CRAPPY LEGACY VERSION		
# 753	MONSTER	8
753	MONSTER	10000	0 #	Gargoyle Slave
754	MONSTER	8		
755	MONSTER	8		
756	MONSTER	0		
757	MONSTER	0		
758	MONSTER	8		
759	EQUIPMENT	0		
760	EQUIPMENT	0		
761	EQUIPMENT	0		
762	EQUIPMENT	0		
763	MONSTER	0		
764	MONSTER	0		
765	MONSTER	0		
766	MONSTER	0		
767	MONSTER	0		
768	MONSTER	0		
# 769	MONSTER	"0 COMMENTED OUT 769 IS SOME KIND OF WEARABLE, BUT OBVIOUSLY NOT USED SINCE IT IS MIS CATEGORIZED IN THIS FILE THIS ASSET IS NOT A FEMALE GARGOYLE HORN"
770	MONSTER	0
771	MONSTER	0
772	MONSTER	0
773	MONSTER	0
774	MONSTER	0
775	MONSTER	0
776	MONSTER	0
777	MONSTER	0
778	MONSTER	0
779	MONSTER	0
780	MONSTER	0
781	MONSTER	0
782	MONSTER	80
783	MONSTER	0
784	MONSTER	0
785	MONSTER	0
786	MONSTER	0
787	MONSTER	0
788	MONSTER	0
789	MONSTER	0
790	MONSTER	0
791	ANIMAL	4000
792	MONSTER	0
793	ANIMAL	0
794	ANIMAL	0
# 795	MONSTER	0 REMOVING DUPLICATE ID
796	MONSTER	0
797	MONSTER	0
798	MONSTER	0
799	ANIMAL	0
800	EQUIPMENT	0
801	EQUIPMENT	0
802	EQUIPMENT	0
803	EQUIPMENT	0
804	MONSTER	0
805	MONSTER	0
806	MONSTER	80
807	MONSTER	0
808	MONSTER	0
820	EQUIPMENT	0
824	EQUIPMENT	0
825	EQUIPMENT	0
826	EQUIPMENT	0
827	EQUIPMENT	0
828	EQUIPMENT	0
846	EQUIPMENT	0
848	EQUIPMENT	0
900	EQUIPMENT	0
901	EQUIPMENT	0
902	EQUIPMENT	0
903	EQUIPMENT	0
904	EQUIPMENT	0
905	EQUIPMENT	0
906	EQUIPMENT	0
909	EQUIPMENT	0
910	EQUIPMENT	0
911	EQUIPMENT	0
912	EQUIPMENT	0
913	EQUIPMENT	0
921	EQUIPMENT	0
922	EQUIPMENT	0
923	EQUIPMENT	0
924	EQUIPMENT	0
925	EQUIPMENT	0
926	EQUIPMENT	0
927	EQUIPMENT	0
928	EQUIPMENT	0
929	EQUIPMENT	0
930	EQUIPMENT	0
931	EQUIPMENT	0
932	EQUIPMENT	0
933	EQUIPMENT	0
934	EQUIPMENT	0
935	EQUIPMENT	0
936	EQUIPMENT	0
937	EQUIPMENT	0
938	EQUIPMENT	0
939	EQUIPMENT	0
971	EQUIPMENT	0
972	EQUIPMENT	0
973	EQUIPMENT	0
980	EQUIPMENT	0
981	EQUIPMENT	0
982	EQUIPMENT	0
983	EQUIPMENT	0
984	EQUIPMENT	0
985	EQUIPMENT	0
986	EQUIPMENT	0
987	HUMAN	10
988	HUMAN	10
990	HUMAN	10000	
991	HUMAN	0
992	EQUIPMENT	0
993	EQUIPMENT	0
994	HUMAN	0
998	MONSTER	0
999	MONSTER	0
1268	EQUIPMENT	0
1281	EQUIPMENT	0
1283	EQUIPMENT	0
1325	EQUIPMENT	0
1349	EQUIPMENT	0
1404	EQUIPMENT	0
1405	EQUIPMENT	0
1406	EQUIPMENT	0
1407	EQUIPMENT	0
1408	EQUIPMENT	0
1409	EQUIPMENT	0
1410	EQUIPMENT	0
1411	EQUIPMENT	0
1412	EQUIPMENT	0
1413	EQUIPMENT	0
1414	EQUIPMENT	0
1415	EQUIPMENT	0
1416	EQUIPMENT	0
1417	EQUIPMENT	0
1418	EQUIPMENT	0
1419	EQUIPMENT	0
1430	EQUIPMENT	0
1431	EQUIPMENT	0
1434	EQUIPMENT	0
1435	EQUIPMENT	0
1447	EQUIPMENT	0
1448	EQUIPMENT	0
1449	EQUIPMENT	0
1455	EQUIPMENT	0
1465	EQUIPMENT	0
1466	EQUIPMENT	0
1468	EQUIPMENT	0
1469	EQUIPMENT	0
1476	EQUIPMENT	0
1477	EQUIPMENT	0
1479	EQUIPMENT	0
1480	EQUIPMENT	0
1481	EQUIPMENT	0
1482	EQUIPMENT	0
1483	EQUIPMENT	0
1484	EQUIPMENT	0
1485	EQUIPMENT	0
1486	EQUIPMENT	0
1490	EQUIPMENT	0
1492	EQUIPMENT	0
1521	EQUIPMENT	0
1523	EQUIPMENT	0
1525	EQUIPMENT	0
1527	EQUIPMENT	0
1528	EQUIPMENT	0
1529	EQUIPMENT	0
1530	EQUIPMENT	0
1531	EQUIPMENT	0
1538	EQUIPMENT	0
1540	EQUIPMENT	0
1542	EQUIPMENT	0
1543	EQUIPMENT	0
1544	EQUIPMENT	0
1545	EQUIPMENT	0
1546	EQUIPMENT	0
1548	EQUIPMENT	0
1549	EQUIPMENT	0
1550	EQUIPMENT	0
1554	EQUIPMENT	0
1555	EQUIPMENT	0
1556	EQUIPMENT	0
1557	EQUIPMENT	0
1560	EQUIPMENT	0
1561	EQUIPMENT	0
1562	EQUIPMENT	0
1563	EQUIPMENT	0
1564	EQUIPMENT	0
1565	EQUIPMENT	0
1566	EQUIPMENT	0
1672	EQUIPMENT	0
1674	EQUIPMENT	0
1675	EQUIPMENT	0
1676	EQUIPMENT	0
1677	EQUIPMENT	0
1678	EQUIPMENT	0
1679	EQUIPMENT	0
1680	EQUIPMENT	0
1681	EQUIPMENT	0
1682	EQUIPMENT	0
1683	EQUIPMENT	0
1684	EQUIPMENT	0
1685	EQUIPMENT	0
1686	EQUIPMENT	0
1687	EQUIPMENT	0
1688	EQUIPMENT	0
1690	EQUIPMENT	0
1691	EQUIPMENT	0
1692	EQUIPMENT	0
1693	EQUIPMENT	0
1694	EQUIPMENT	0
1695	EQUIPMENT	0
1696	EQUIPMENT	0
1697	EQUIPMENT	0
1698	EQUIPMENT	0
1699	EQUIPMENT	0
1700	EQUIPMENT	0
1701	EQUIPMENT	0
1702	EQUIPMENT	0
1703	EQUIPMENT	0
1710	EQUIPMENT	0
1712	EQUIPMENT	0
1713	EQUIPMENT	0
1715	EQUIPMENT	0
1716	EQUIPMENT	0
1720	EQUIPMENT	0
1721	EQUIPMENT	0
1722	EQUIPMENT	0
1723	EQUIPMENT	0
1724	EQUIPMENT	0
1725	EQUIPMENT	0
1726	EQUIPMENT	0
1727	EQUIPMENT	0
1728	EQUIPMENT	0
1729	EQUIPMENT	0
1730	EQUIPMENT	0
1731	EQUIPMENT	0
1732	EQUIPMENT	0
1733	EQUIPMENT	0
1734	EQUIPMENT	0
1735	EQUIPMENT	0
1736	EQUIPMENT	0
1740	EQUIPMENT	0
1742	EQUIPMENT	0
1743	EQUIPMENT	0
1759	EQUIPMENT	0
1761	EQUIPMENT	0
1762	EQUIPMENT	0
1900	EQUIPMENT	0
1901	EQUIPMENT	0
1902	EQUIPMENT	0
1903	EQUIPMENT	0
1909	EQUIPMENT	0
1910	EQUIPMENT	0
1911	EQUIPMENT	0
1912	EQUIPMENT	0
1913	EQUIPMENT	0
1921	EQUIPMENT	0
1922	EQUIPMENT	0
1923	EQUIPMENT	0
1924	EQUIPMENT	0
1925	EQUIPMENT	0
1926	EQUIPMENT	0
1927	EQUIPMENT	0
1928	EQUIPMENT	0
1929	EQUIPMENT	0
1971	EQUIPMENT	0
1973	EQUIPMENT	0

# SE Creatures		
242	MONSTER	0
247	MONSTER	0
240	MONSTER	0
252	MONSTER	0
241	MONSTER	0
244	MONSTER	0
255	MONSTER	0
253	MONSTER	0
245	MONSTER	0
250	MONSTER	0
251	MONSTER	0
249	MONSTER	0
254	ANIMAL	0
243	ANIMAL	4000
246	ANIMAL	0
248	ANIMAL	0
196	MONSTER	0
199	MONSTER	0
169	ANIMAL	4000

# SE Equipment		
425	EQUIPMENT	0
426	EQUIPMENT	0
423	EQUIPMENT	0
424	EQUIPMENT	0
442	EQUIPMENT	0
443	EQUIPMENT	0
444	EQUIPMENT	0
445	EQUIPMENT	0
446	EQUIPMENT	0
450	EQUIPMENT	0
451	EQUIPMENT	0
456	EQUIPMENT	0
457	EQUIPMENT	0
458	EQUIPMENT	0
459	EQUIPMENT	0
460	EQUIPMENT	0
461	EQUIPMENT	0
462	EQUIPMENT	0
463	EQUIPMENT	0
464	EQUIPMENT	0
467	EQUIPMENT	0
470	EQUIPMENT	0
471	EQUIPMENT	0
472	EQUIPMENT	0
473	EQUIPMENT	0
474	EQUIPMENT	0
478	EQUIPMENT	0
487	EQUIPMENT	0
488	EQUIPMENT	0
489	EQUIPMENT	0
491	EQUIPMENT	0
506	EQUIPMENT	0
512	EQUIPMENT	0
513	EQUIPMENT	0
514	EQUIPMENT	0
516	EQUIPMENT	0
517	EQUIPMENT	0
518	EQUIPMENT	0
519	EQUIPMENT	0
520	EQUIPMENT	0
526	EQUIPMENT	0
532	EQUIPMENT	0
533	EQUIPMENT	0
534	EQUIPMENT	0
535	EQUIPMENT	0
536	EQUIPMENT	0
537	EQUIPMENT	0
539	EQUIPMENT	0		
547	EQUIPMENT	0		
551	EQUIPMENT	0		
552	EQUIPMENT	0		
553	EQUIPMENT	0		
558	EQUIPMENT	0		
559	EQUIPMENT	0		
567	EQUIPMENT	0		
568	EQUIPMENT	0		
569	EQUIPMENT	0		
570	EQUIPMENT	0		
571	EQUIPMENT	0		
572	EQUIPMENT	0		
575	EQUIPMENT	0		
583	EQUIPMENT	0		
809	EQUIPMENT	0	#	Ninja jacket Cloth Female
810	EQUIPMENT	0	#	Ninja Jacket Leather Feamale
811	EQUIPMENT	0	#	Shirt Doublet Female
812	EQUIPMENT	0		
813	EQUIPMENT	0		
814	EQUIPMENT	0		
815	EQUIPMENT	0		
816	EQUIPMENT	0	#	Female CHeckered Shirt
817	EQUIPMENT	0		
818	EQUIPMENT	0		
819	EQUIPMENT	0		
821	EQUIPMENT	0		
822	EQUIPMENT	0		
823	EQUIPMENT	0		
833	EQUIPMENT	0		
834	EQUIPMENT	0		
835	EQUIPMENT	0		
836	EQUIPMENT	0
837	EQUIPMENT	0
838	EQUIPMENT	0
839	EQUIPMENT	0
840	EQUIPMENT	0
841	EQUIPMENT	0
842	EQUIPMENT	0


# ep1 equipment		
942	EQUIPMENT	0
943	EQUIPMENT	0
944	EQUIPMENT	0
945	EQUIPMENT	0
946	EQUIPMENT	0
947	EQUIPMENT	0
948	EQUIPMENT	0
950	EQUIPMENT	0
951	EQUIPMENT	0
952	EQUIPMENT	0
953	EQUIPMENT	0
954	EQUIPMENT	0
955	EQUIPMENT	0
956	EQUIPMENT	0
957	EQUIPMENT	0
958	EQUIPMENT	0
959	EQUIPMENT	0
960	EQUIPMENT	0
961	EQUIPMENT	0
962	EQUIPMENT	0
963	EQUIPMENT	0
964	EQUIPMENT	0
965	EQUIPMENT	0
966	EQUIPMENT	0
967	EQUIPMENT	0
968	EQUIPMENT	0
969	EQUIPMENT	0
974	EQUIPMENT	0
975	EQUIPMENT	0
976	EQUIPMENT	0
977	EQUIPMENT	0
#Added by JP		
920	EQUIPMENT	0
907	EQUIPMENT	0
908	EQUIPMENT	0
914	EQUIPMENT	0
915	EQUIPMENT	0
941	EQUIPMENT	0
896	EQUIPMENT	0			 
897	EQUIPMENT	0			
898	EQUIPMENT	0			
899	EQUIPMENT	0			
886	EQUIPMENT	0			
916	EQUIPMENT	0			
917	EQUIPMENT	0			
918	EQUIPMENT	0			
919	EQUIPMENT	0			
978	EQUIPMENT	0			
979	EQUIPMENT	0			
995	EQUIPMENT	0			
996	EQUIPMENT	0			
989	EQUIPMENT	0			
997	EQUIPMENT	0			
890	EQUIPMENT	0	#More Hair		
891	EQUIPMENT	0	#More Hair
892	EQUIPMENT	0	#More Hair
893	EQUIPMENT	0	#More Hair
894	EQUIPMENT	0	#More Hair
895	EQUIPMENT	0	#More Hair
889	EQUIPMENT	0	#Elf Male Hair 11



#ep1 races			
605	HUMAN		20000 # elf male
606	HUMAN		20000 # elf female
607	HUMAN		20000 # elf male ghost
608	HUMAN		20000 # elf female ghost

#ep1 creatures			
256	MONSTER		0 #	Chief Paroxysmus		
257	MONSTER		0 #	Dread Horn		
258	MONSTER		0 #	Lady M		
259	MONSTER		0 #	Monstrous Interred Grizzle		
260	MONSTER		0 #	Travesty		
261	MONSTER		0 #	Shimmering Effusion		
262	MONSTER		0 #	Tormented Minotaur		
263	MONSTER		0 #	Minotaur		
264	MONSTER		0 #	Changeling		
265	MONSTER		0 #	Hydra		
266	MONSTER		0 #	Dryad		
267	MONSTER		0 #	Troglodyte		
269	MONSTER		0 #	Thorn bat		
# 	MOVED TO UOSA CREATURES - JP -	270	MONSTER		0 #	Bulbous Putrification
271	MONSTER		0 #	Satyr		
272	MONSTER		0 #	Interred Grizzle		
273	MONSTER		0 #	Fetid Essence

276	ANIMAL		0 #	Chimera
277	ANIMAL		0 #	Cu Sidhe
278	ANIMAL		0 #	Squirrel
279	ANIMAL		0 #	Ferret
280	MONSTER		0 #	Plate Armored Minotaur
281	MONSTER		0 #	Leather Armored Minotaur
282	ANIMAL		0 #	Parrot
283	ANIMAL		0 #	Crow
284	ANIMAL		0 #	Mondains Steed
285	MONSTER		0 #	Reaper Form

# 8th Anniversary Items				

869	EQUIPMENT		0 #	Helm of Spirituality
870	EQUIPMENT		0 #	Gorget of Honesty
871	EQUIPMENT		0 #	Male Breastplate of Justice
872	EQUIPMENT		0 #	Arms of Compassion
873	EQUIPMENT		0 #	Gauntlets of Valor
874	EQUIPMENT		0 #	Legs of Honor
875	EQUIPMENT		0 #	Sollerets of Sacrifice
876	EQUIPMENT		0 #	cloak of Humility
877	EQUIPMENT		0 #	Book 01
878	EQUIPMENT		0 #	Book 02
879	EQUIPMENT		0 #	Book 03
880	EQUIPMENT		0 #	Book 04
881	EQUIPMENT		0 #	Book 05
882	EQUIPMENT		0 #	Book 06
883	EQUIPMENT		0 #	Book 07
884	EQUIPMENT		0 #	Book 08
887	EQUIPMENT		0 #	Quiver of Infinity
888	EQUIPMENT		0 #	Dupres Shield
868	EQUIPMENT		0 #	Female Breastplate of Justice

# PUb 39 Fixes				

866	EQUIPMENT		0 #	H_M_WingedHelm
867	EQUIPMENT		0 #	H_F_WingedHelm
679	EQUIPMENT		0 #	H_M_Dragon_Arms
680	EQUIPMENT		0 #	H_M_Dragon_Chest
681	EQUIPMENT		0 #	H_M_Dragon_Gauntlests
682	EQUIPMENT		0 #	H_M_Dragon_Helm
683	EQUIPMENT		0 #	H_N_Dragon_Legs
684	EQUIPMENT		0 #	H_F_Dragon_Arms
685	EQUIPMENT		0 #	H_F_Dragon_Chest
686	EQUIPMENT		0 #	H_F_Dragon_Gauntlets
687	EQUIPMENT		0 #	H_F_Dragon_Helm
688	EQUIPMENT		0 #	H_F_Dragon_Legs	
689	MONSTER			0 #	Time Lord
704	MONSTER			0 #	Shadow Lord


# PUb 52 					

197	MONSTER			0 #	Order Variant
198	MONSTER			0 #	Chaos Variant

# UOSA CREATURES					
666	HUMAN 		10000	0 #	Gargoyle Male
667	HUMAN 		10000	0 #	Gargoyle Female
694	HUMAN 		10000	0 #	Gargoyle Ghost Male
695	HUMAN 		10000	0 #	Gargoyle Ghost Female
713	MONSTER		10000	0 #	Abyssal_Infernal
714	MONSTER		10000	0 #	Beetle_Iron
715	MONSTER		10000	0 #	Boura
716	MONSTER		10000	0 #	ChickenLizard
717	MONSTER		10000	0 #	Clockwork_Scorpion
718	MONSTER		10008	0 #	Dragon_Faerie
719	MONSTER		10000	0 #	Dragon_Wolf
720	MONSTER		10000	0 #	Elemental_Lava
721	MONSTER		10000	0 #	Flayer
